provider_id,provider_name,provider_type,npi_hash,address_id
PR000043,Allen Inc Care,CLINIC,f17c1f3c29bb11b04c6cd00f,AD001313
PR000044,"Waters, Williams and Barajas Medical",HOSPITAL,12aca601e588f4ca7e54639a,AD001135
PR000045,"Taylor, Pope and Sullivan Clinic",PT,33ff69b08a2e8afb6d68f806,AD001732
PR000046,Johnson-Johnson Clinic,HOSPITAL,ab9125d95b990d23f8ba9d3b,AD000171
PR000047,"Wade, Barajas and Calderon Health",HOSPITAL,27407814ab152a413fe82263,AD000920
PR000048,Chapman Inc Health,HOSPITAL,90cc4c15a5b9ba48550ccb7b,AD000187
PR000049,"Walters, Holt and Lester Health",HOSPITAL,2d85da6f01f2a11e9f26e058,AD000715
PR000050,Booth PLC Clinic,HOSPITAL,f8d8e7b28deee379b9686724,AD000109
PR000051,Sanchez and Sons Medical,PT,64edcfc54ce0c3136fb2574b,AD000765
PR000052,Wilson-Walker Health,HOSPITAL,86bc0a03b0a41d60807658b9,AD000167
PR000053,"Richard, Cross and Brewer Care",CLINIC,100cd7866a996d6c700c178c,AD000057
PR000054,Austin Group Care,CLINIC,43ce44b1cf545f95aab3674d,AD001718
PR000055,"Miller, Owens and Leonard Care",CLINIC,4b974660eef22e991239b41d,AD000281
PR000056,"Miller, Rivera and Rangel Clinic",HOSPITAL,627936b4df23fcd93044811e,AD001699
PR000057,"Martin, Anderson and Hayes Medical",PT,7c50949164916503c54f8619,AD001702
PR000058,Mayer Ltd Health,PT,8d6febdda1b299a745f688d8,AD000960
PR000059,Schultz Inc Medical,PT,3e0bba4c5b1632d41e59cc31,AD000010
PR000060,"Brown, Gonzales and Cooper Clinic",CLINIC,2935cb87167c28a6d2e1bf76,AD000524
PR000061,Hawkins-Barnes Health,CLINIC,003dcbe10f8754fabca55f6a,AD001123
PR000062,Wilcox-Gutierrez Medical,CLINIC,617af762317aa84e2e7c9955,AD001589
PR000063,Edwards-Dorsey Care,CLINIC,c8de818f612a2eb8602e831a,AD000616
PR000064,"Palmer, Dickson and Norris Clinic",CLINIC,c69f606da5a1a15f936d2cd2,AD000488
PR000065,Grimes LLC Medical,PT,ce65d714ee88c71030b82dbd,AD001625
PR000066,"Rodriguez, Mccullough and Williams Medical",CLINIC,024b922945038b349083957b,AD000227
PR000067,Young LLC Medical,PT,b81b4a8360927244c3f069cc,AD001097
PR000068,Jackson Inc Clinic,PT,6675f28c5bf9c63874ec5d84,AD001055
PR000069,"Taylor, Jenkins and Chen Health",PT,63aa84e169f0f6793be48cf8,AD000294
PR000070,"Golden, Carr and Lopez Care",HOSPITAL,c8778396a4eb3d37f040db6e,AD000003
PR000071,"Cross, Savage and Mcintosh Care",CLINIC,6e76f3f1259b7c1d1d1b8ff5,AD001168
PR000072,Allen PLC Medical,CLINIC,f38e84a5438d216c08db1404,AD001360
PR000073,"Barrera, Winters and Smith Clinic",PT,504147f759068e478906a807,AD000738
PR000074,Daniels LLC Clinic,PT,9862c3a3eb7d4c156caa66b2,AD001114
PR000075,Adams Inc Clinic,HOSPITAL,b3a326a83c508ace04a6222e,AD001788
PR000076,Davis-Haley Medical,CLINIC,34fbb717fddaf2a2b491db2a,AD001301
PR000077,Morales PLC Medical,HOSPITAL,33960982d2ae1d3c86bcf1b3,AD000519
PR000078,Vazquez-Lynch Clinic,HOSPITAL,c436c5b26313bb5add5eb936,AD001614
PR000079,"Smith, Moss and Ford Clinic",HOSPITAL,68efaee1e15631095cc4e3d7,AD000493
PR000080,"Booker, Lopez and Hood Clinic",PT,42f0c96c86afd387ecb0fbf6,AD001505
PR000081,Griffith-Barajas Care,CLINIC,57512f596cd627b101330fba,AD000090
PR000082,"Martin, Frazier and Henry Care",PT,6f50c4dcd0a70faed902fd32,AD000693
PR000083,Ray and Sons Health,PT,1fb14bd01e2d466387168b36,AD000951
PR000084,Perez-Adams Medical,PT,3089175acd76d0448eb091bb,AD000373
PR000085,Cruz LLC Health,CLINIC,5c4be2404f5190683551706e,AD001466
PR000086,Gonzalez-Wong Medical,CLINIC,9e4e5d39cba0c4874c708267,AD000600
PR000087,"Brandt, Perez and Thomas Health",CLINIC,993119c6ea8380b4bae3e857,AD001620
PR000088,"Case, Mata and Randall Health",CLINIC,d99512cc165007266db411a0,AD000646
PR000089,Young-Powers Care,PT,5fb5948f36d5a7ac3dcacea0,AD000815
PR000090,Wilson-Franco Medical,HOSPITAL,f23939d5daa9600601a047bd,AD000074
PR000091,James-Rocha Health,HOSPITAL,87d2933b05407095af59e09e,AD000731
PR000092,White-Johnson Clinic,PT,115a9dcdc5fe113479aff4b9,AD000679
PR000093,"Caldwell, Robinson and Adkins Care",CLINIC,27b858c0ae36cf5f88755276,AD001637
PR000094,"Evans, Thomas and Smith Care",HOSPITAL,88d9200d149dfd030225eccc,AD000819
PR000095,Douglas Inc Medical,HOSPITAL,1a0aab45f4fb773b232af0a5,AD000694
PR000096,Fleming-Harris Health,HOSPITAL,7ba253790da110e2f160b2ba,AD001417
PR000097,"Hayes, Gray and Wilson Medical",HOSPITAL,9d5eacc93725ab2db45c461c,AD001632
PR000098,"Reyes, Keller and Beck Care",CLINIC,40fc3067cc1c61247f51c6c3,AD001489
PR000099,Love-Johnson Medical,CLINIC,1aa117af535156ebb85095ba,AD000881
PR000100,"Moore, Fletcher and Hamilton Health",PT,7efc0ffabd66e0dcbaf435ff,AD000601
PR000101,"Ward, Moore and Rojas Care",CLINIC,c3c6abb842ff5cd1ccb71a7e,AD000163
PR000102,Burns-Dawson Care,PT,6b626be3c6777fe85bd285ea,AD000605
PR000103,"Smith, Frazier and Hall Care",HOSPITAL,e99099a9e218b6edc44e1346,AD001234
PR000104,Brown Ltd Medical,CLINIC,d118b0f8284dd711d0aa2661,AD001412
PR000105,"Smith, Davis and Brown Medical",HOSPITAL,736048dade1f0f96a708cc52,AD000915
PR000106,"Clements, Cardenas and Mercado Clinic",PT,f4977f9852ef3ee286c88672,AD001781
PR000107,"Bridges, Moreno and Hunt Care",PT,d28e54b74f79ae3b707aada0,AD000890
PR000108,Garcia-Gordon Care,PT,bfa8e45472efd65350036b31,AD001620
PR000109,Richardson-Cherry Clinic,CLINIC,dbea068f14deed30a658f66e,AD001374
PR000110,Thompson-Campbell Medical,HOSPITAL,9d3157f1cb50eb5f76b54606,AD001050
PR000111,Dixon Inc Health,CLINIC,fe093b3cb43a3f0a185e3584,AD000292
PR000112,"Davis, Bates and Moore Medical",CLINIC,3b2683ac652a299ce7b0b4a1,AD000258
PR000113,"Garner, Williams and Dunn Clinic",CLINIC,19d5d915f44208ed9a817149,AD001594
PR000114,Brown-Brooks Care,HOSPITAL,efb7a6a27131bfdfdccd434b,AD000784
PR000115,Scott-Bishop Clinic,PT,3681e797ad3e7e09fc331c18,AD000314
PR000116,Anthony-Bright Medical,HOSPITAL,127fa73de52e7a12543216f2,AD000761
PR000117,Collins and Sons Medical,CLINIC,dd3158315c809e2893d3683d,AD001175
PR000118,"Adams, White and Johnson Health",PT,0ab9c235deae279d5b533e0a,AD000751
PR000119,Rodriguez LLC Medical,HOSPITAL,396b559dcac1dcdf063efd0f,AD001330
PR000120,Richmond Group Care,CLINIC,7a1ab7f38be24787692d0f43,AD000232
PR000121,"Alexander, Johnson and Jordan Clinic",PT,c8c8c9818c38a2ac9339e07d,AD000381
PR000122,Ball-Smith Medical,PT,f06afe96f3470d0b0e14bd44,AD000792
PR000123,"Lewis, Bailey and Gordon Clinic",HOSPITAL,dcce8adca40ffd64e462cc8a,AD001587
PR000124,Adams-Thompson Care,PT,e691a1dcc234c8aaf0ce9c4b,AD000913
PR000125,Jones-Martinez Health,PT,e257626a8be11fb8099b2376,AD000584
PR000126,Pineda LLC Medical,CLINIC,00a4b2d01d77f14053116876,AD000251
PR000127,"Daniels, Palmer and Cox Health",CLINIC,c9e036a13fc56f9d12fcfed2,AD000925
PR000128,Gross-Allen Health,PT,db4277ac02bee758f106cebd,AD000911
PR000129,Walker-Carpenter Clinic,PT,b85a5533aca3ae6adee95d6a,AD001731
PR000130,"Reed, Woodard and Holloway Care",PT,0615a0096074667047cca633,AD000711
PR000131,Pierce-Wong Clinic,PT,66d77f38ec799afcf06ce5b1,AD001110
PR000132,Anderson-Peters Care,HOSPITAL,4b1a23eb9ea82397eedff985,AD001743
PR000133,"Gonzalez, Long and Green Health",PT,52ab7764c3ba7489e5a20cde,AD001453
PR000134,"Wilson, Miller and Key Health",HOSPITAL,94fdf7ccfe578540fc8d38dd,AD001041
PR000135,"Ward, Torres and Swanson Health",CLINIC,f8a3e9fcdb850945d90950fb,AD000411
PR000136,Chandler-Adams Health,CLINIC,47891c68e28076ba242e7d2c,AD001618
PR000137,Parks Inc Medical,CLINIC,51c975c65403f67c8334b517,AD000739
PR000138,Smith-Valencia Care,HOSPITAL,00a43fcd2ed5d2c0985f8000,AD001645
PR000139,"Roberson, Davis and Williams Health",PT,7f3e912aea4a23019df82ae3,AD000176
PR000140,Grimes-Barnes Clinic,HOSPITAL,f3bede57925a01437e53d157,AD000815
PR000141,Montes-Burke Medical,PT,7774afa1cad64216c4f4e823,AD000841
PR000142,"Lin, Meyer and Jimenez Medical",PT,627cd9733c3bf9fc92427bc3,AD000151
PR000143,Gonzalez Ltd Health,HOSPITAL,600096e6548ea4ed140e4a4c,AD001315
PR000144,"Hunt, Parker and Rios Clinic",HOSPITAL,491bc26b95c3085ff1e8449f,AD000954
PR000145,Jackson-Duarte Care,CLINIC,dd4c298662b02e4ccbe96366,AD001798
PR000146,Padilla LLC Health,CLINIC,23743f7a8a6478235f6097f5,AD000886
PR000147,Brown Ltd Clinic,CLINIC,aed34881b8dfd2917b6a9eac,AD001061
PR000148,Kelly and Sons Health,HOSPITAL,8141d45e471d5f47fd54ff59,AD000337
PR000149,"Hunter, Stanley and Rowland Health",HOSPITAL,f69fc31872af072fcca43847,AD001452
PR000150,Young-Cochran Health,HOSPITAL,fc7b785a48eec4b420c90df2,AD001062
PR000151,Spears Ltd Care,CLINIC,69844351ee0486b54926e073,AD000513
PR000152,Strong Group Health,PT,b75e6db967f3628844a2a5ff,AD001128
PR000153,Evans Group Care,CLINIC,e36fd31de15ad6c545af6ab0,AD001280
PR000154,"Richardson, Lopez and Mora Care",PT,5afcbfef5e713ccfba4aa09a,AD001092
PR000155,"Long, Weiss and Hudson Clinic",PT,fa35810246d53aff0b58c484,AD001312
PR000156,Henderson PLC Health,PT,c9ccbc2d9caf543d87854fe7,AD001189
PR000157,Estrada-Knox Health,CLINIC,d7cbf848f827926e7684d640,AD001349
PR000158,"Randall, Pace and Powell Care",PT,518eb0dd3f7d1fce069826bb,AD000084
PR000159,"Ward, Rodriguez and Williams Clinic",CLINIC,457d57c3194d0173b6d492d5,AD000093
PR000160,Smith Ltd Care,PT,65e8de567106dbb5844012fa,AD000431
PR000161,Mendoza-Brown Medical,PT,599378af643d7dae010dc76b,AD001308
PR000162,"Marshall, Davila and Wright Clinic",HOSPITAL,04da81ab7bf2be68ec6af914,AD001284
PR000163,Mullins Inc Care,PT,bc2a84690bb1d2215af34997,AD000618
PR000164,"Anderson, Riggs and Steele Medical",CLINIC,192ef2704e8568434da794ad,AD001648
PR000165,Gonzalez Group Medical,HOSPITAL,b6eb06047733eda2e80e4c0d,AD000928
PR000166,Hamilton and Sons Clinic,PT,cfbc7ebb84225cee3ff40fca,AD000122
PR000167,"Warren, Brown and Bell Health",HOSPITAL,f5000e6bbf44be905b792b0d,AD000851
PR000168,"Brown, Armstrong and Glenn Medical",HOSPITAL,65bfc49c200fd93e20c7a836,AD000417
PR000169,"Esparza, Vargas and Shepherd Care",PT,590579410b8002faf7267c4c,AD000294
PR000170,White-Holt Care,PT,a1f305dcaf481483792421db,AD000653
PR000171,"Johnson, Bennett and Little Care",HOSPITAL,72d2b74b7ca55d6ab4bccc75,AD000267
PR000172,"Becker, Conway and Scott Care",PT,adb68da6593386cac1fe501a,AD001150
PR000173,James and Sons Clinic,HOSPITAL,6ba10feee9660024a0105887,AD000495
PR000174,Parker LLC Medical,CLINIC,a2e5cd60e4430256b6484702,AD000547
PR000175,"Molina, Harris and Smith Medical",CLINIC,71065743546d150da6c12a3f,AD000288
PR000176,Roberts Group Clinic,CLINIC,30587fc72212a0c38af87922,AD000594
PR000177,Russell-Scott Medical,PT,5abb469e86579d74320c39aa,AD000856
PR000178,Jones-Rowe Health,CLINIC,2dcb2258b5004cf51c0b8646,AD001666
PR000179,"Conner, Webb and Williams Care",PT,4bed76a47bf6864bbccae421,AD001476
PR000180,"Mccann, Parker and Stein Care",CLINIC,b168da4fe8e81ba9b6a77f9b,AD001562
PR000181,Smith Ltd Health,HOSPITAL,a7a3156a5adcfc86e521f562,AD001054
PR000182,"Duncan, Moore and Salas Medical",HOSPITAL,3a52ee6ad9d8f1a02472741d,AD000631
PR000183,Bell LLC Medical,CLINIC,c0d6b3aacfe426146414a3f2,AD000184
PR000184,"Wright, Richards and Grant Medical",PT,54329714d595f67e48c05381,AD000936
PR000185,Johnson PLC Health,CLINIC,0b99b97456e05e479ba70c7a,AD001194
PR000186,Sutton Ltd Care,CLINIC,409874dff16954fffb4929ae,AD000103
PR000187,Smith-Thomas Care,HOSPITAL,19d5d1941ce12e2304e56912,AD001223
PR000188,Rollins and Sons Medical,HOSPITAL,7df596749c57acc81f36794c,AD001099
PR000189,"Martinez, Garcia and Wright Clinic",CLINIC,f77c3dbaf2ba01c0b51236f8,AD000882
PR000190,"Haney, Chung and Carey Health",HOSPITAL,90a870ab1fbcfa3dc746d4c0,AD001489
PR000191,Oliver LLC Care,HOSPITAL,23487eb71101c866b813ff36,AD000749
PR000192,"Garcia, Pierce and Lewis Clinic",HOSPITAL,5014562f0bff0cab4ffcf628,AD000104
PR000193,Mcdaniel-Gonzalez Health,HOSPITAL,85e50a5ab8b549dd0e5ebf96,AD001133
PR000194,"Schultz, Johnson and Romero Care",CLINIC,1ecdae49052e5320b632042b,AD000791
PR000195,"Rivera, Trujillo and Osborn Medical",PT,91ac07348262b31ebe541c2e,AD000572
PR000196,White-Anderson Clinic,CLINIC,24d1e4d95a19b7c22241ccc5,AD000198
PR000197,Nicholson Ltd Medical,HOSPITAL,ee22e13dcb5ea80a95656a2d,AD001627
PR000198,Parker Group Care,PT,05c5091667e8c2029da64af0,AD000748
PR000199,Miller-Wilkins Health,CLINIC,0afcfca36d9784fd549c30ee,AD001233
PR000200,Roberts Inc Medical,PT,27d34811033cd6cc9562b6cd,AD000082
PR000201,Schneider Inc Clinic,CLINIC,45a4a3c9d01de1b06f53aaa6,AD000280
PR000202,"Scott, Flores and Richard Care",HOSPITAL,cf35f36c8bf195717189654f,AD001063
PR000203,Stafford and Sons Medical,CLINIC,893ed8f0bb724cba92b80a6f,AD001241
PR000204,"Patel, Thomas and Davis Health",HOSPITAL,be185b6fc3190a59c9bdf349,AD001255
PR000205,Thomas-Foster Care,CLINIC,e074e560b0b50c3d29d9481f,AD000804
PR000206,Howard-Smith Care,PT,99e4baf4ec0485117f2edab7,AD000688
PR000207,"Holmes, Rodriguez and Robinson Medical",PT,66bf072857f17044893e0edb,AD001152
PR000208,Larson-Lewis Care,HOSPITAL,818c712b5ebac4a8f7c9b47e,AD001670
PR000209,Mayer-Crosby Clinic,HOSPITAL,eb1a070c0c3c01bb0b57cd32,AD000678
PR000210,"Sweeney, Wells and Benton Clinic",HOSPITAL,2f4978d8a4a08d0ecde40d9f,AD001195
PR000211,"Mason, Page and Houston Care",PT,5fd28b30823df8596c5cf308,AD001786
PR000212,"White, Sullivan and Howell Clinic",PT,6dde521c8e84bfd07f6e75a4,AD000971
PR000213,"Williams, Bryan and Jackson Care",PT,97c2057d621ac44bcf86c580,AD001603
PR000214,Thomas-Wood Health,PT,debb332770c396c8de60b5b0,AD000105
PR000215,Johnson Ltd Medical,CLINIC,bb162eb7d4d1cc5916c329f6,AD001073
PR000216,Castro LLC Medical,CLINIC,b267f3088ddb323fe2e2fe4a,AD001682
PR000217,Holden LLC Health,CLINIC,cb793861475b3df69ebb1b25,AD001172
PR000218,"Cantu, Castro and Smith Clinic",CLINIC,2f8a183e416cab994e782d95,AD000038
PR000219,"Phillips, Green and Mueller Medical",HOSPITAL,5d308e58509acaac5d4bfe72,AD000857
PR000220,Thompson-Baker Health,HOSPITAL,ee322d8b06186efd3c54efed,AD001414
PR000221,Castro PLC Health,HOSPITAL,5bc7541528471d34ea934b14,AD001027
PR000222,Flores-Floyd Medical,PT,55ab673fc92c635eb6437cf1,AD001489
PR000223,Cunningham and Sons Clinic,PT,5c7eab297f4f06b948bebcc2,AD000282
PR000224,Mcconnell-Good Health,PT,36bad5bd8a801f21f81489c6,AD000665
PR000225,Glenn-Li Medical,PT,7fbb2ebd1729b28063166a73,AD000771
PR000226,"Brown, Perez and Baker Care",CLINIC,30c9248291776f819fc5f2b1,AD000941
PR000227,Day PLC Care,PT,3544c2fb72ca017a7fc7a21f,AD000725
PR000228,Long Ltd Care,PT,99c5a95b43022e7c6488b30a,AD000991
PR000229,Cooke-Humphrey Health,CLINIC,e06e684c825b590405f4d371,AD000571
PR000230,Brown-Suarez Care,CLINIC,6e23861baabfbc7023d5797f,AD000609
PR000231,Nguyen Inc Care,PT,960fece40cdb05ea3a98c8de,AD000424
PR000232,"Smith, Kirby and Gonzalez Medical",HOSPITAL,0bc8c436d9c41548efa9d05d,AD000982
PR000233,Schwartz-Kirby Care,PT,93225418f9056c241754692a,AD001628
PR000234,"Klein, Hall and Jones Care",HOSPITAL,4c9c9e83abfdace1c54e5986,AD000249
PR000235,"Wilson, Lyons and Beasley Medical",HOSPITAL,54a77a921011e929358497dc,AD001676
PR000236,"Ponce, Garrett and Martinez Care",CLINIC,c3000846e62274e040840d4d,AD000594
PR000237,Holt-Ramirez Clinic,HOSPITAL,53a761fa55ad95b0c958da21,AD001462
PR000238,Vega-Davis Clinic,HOSPITAL,ed99baafb48501a7bf484674,AD000905
PR000239,Diaz-Mueller Care,PT,468f68c22013ce90a084bcda,AD000981
PR000240,"Barrett, Dunn and Phillips Health",CLINIC,4d434bc88dd09f369fd0703b,AD001695
PR000241,"Zavala, Armstrong and Norman Care",PT,a529cf6cad6ae36a33634c3f,AD001425
PR000242,"Lee, Gibbs and Patel Care",CLINIC,7542743a85a4e6381a1e0aaa,AD000223
PR000243,"Weaver, Randolph and Lane Health",CLINIC,22cfdb70554675dbc427e852,AD000103
PR000244,"Lopez, Wilson and Freeman Health",PT,bb91882d89dd6bc9647b007d,AD000476
PR000245,"Bridges, Price and Lawrence Clinic",CLINIC,2bf6312a8db87cb39c5d13a0,AD000846
PR000246,"Wells, Short and Caldwell Care",PT,8dd2a62d06bc500e5db69f72,AD000967
PR000247,"Adams, Davis and Estrada Clinic",PT,bfcd2229d40359118d3c44a8,AD001578
PR000248,Lawrence LLC Health,CLINIC,c56539b8d9bc40dddb70d5cc,AD001127
PR000249,"Brown, Stanley and Bailey Health",HOSPITAL,a0da9422e378cdc54423c2eb,AD001337
