vehicle_id,vin_hash,make,model,year
VE000055,fb31d5c74a073e236cc9de4a,Chevrolet,Malibu,2025
VE000056,29f168679db77f4403b5dd01,Hyundai,Elantra,2018
VE000057,748e59ac98f255d35a5d6796,Ford,Escape,2023
VE000058,d2ea3208feb2fa0f5872cef7,Hyundai,Elantra,2023
VE000059,7457da87d8430c143625efad,Chevrolet,Malibu,2013
VE000060,301a9a76aa2efc062ff3106d,Hyundai,Elantra,2019
VE000061,77dfb5c6bd3c5e03f3fbcf43,Honda,Civic,2012
VE000062,a05de5c9234debc0c7bb9528,Hyundai,Elantra,2025
VE000063,3c958f1f85e590779a57e440,Chevrolet,Malibu,2013
VE000064,8c54d3a4785752f82fc2dda9,Nissan,Sentra,2009
VE000065,08400bbb4025aa573e2d6925,Nissan,Sentra,2009
VE000066,ab3b548c145ebb6fc1dafb65,Kia,Sportage,2010
VE000067,fcea2e5b5b51c569e1bb9aa9,Kia,Sportage,2009
VE000068,8c94b782558dc0c6b8a11243,Kia,Sportage,2008
VE000069,a2f42c72ef25699b76b3e405,Chevrolet,Malibu,2012
VE000070,6eb6f1a12ae044f94dc19938,Kia,Sportage,2015
VE000071,40240495de68f9978087906a,Toyota,Corolla,2012
VE000072,4d936a5b6885c932e6da61be,Toyota,Corolla,2014
VE000073,bc075dab1a718eeb53ebb432,Nissan,Sentra,2022
VE000074,42fc9b5322fd1e00285775b1,Ford,Escape,2009
VE000075,f6313aeb0e4da3b39103dce4,Nissan,Sentra,2023
VE000076,e4b8b22872a829fb77e0a8f0,Hyundai,Elantra,2023
VE000077,94a5c870c734a1ad31948d19,Toyota,Corolla,2008
VE000078,8f3413ecf3f1c1074975b3f4,Nissan,Sentra,2025
VE000079,1f81700a2db85ba300f98d27,Chevrolet,Malibu,2008
VE000080,89c78276dda66df1e1ad787c,Toyota,Corolla,2024
VE000081,db0e502a3455749a1671c9e7,Hyundai,Elantra,2016
VE000082,d6c9f0bac4291f31d5b6c616,Nissan,Sentra,2017
VE000083,08e357300efcaefea57748d5,Toyota,Corolla,2024
VE000084,6fb2f28cb789f5fa70aaafcd,Kia,Sportage,2021
VE000085,e40f3b8558370a9f3ae1f31d,Kia,Sportage,2013
VE000086,e7ec19c56df8bb3291217fc8,Toyota,Corolla,2011
VE000087,1601bb59373eec437bb34924,Nissan,Sentra,2012
VE000088,dc282905f373442922ef638f,Honda,Civic,2014
VE000089,9053f2da1dff56fb7fa24bad,Nissan,Sentra,2024
VE000090,5bfdd46d07d3bab193bd62c0,Ford,Escape,2019
VE000091,614e6a18c86bdc4f0d121fed,Ford,Escape,2020
VE000092,a1252caef6ce2dd2c3d10386,Toyota,Corolla,2019
VE000093,ae6a63d87ae665cdd37c61e5,Chevrolet,Malibu,2022
VE000094,b050a96b2fcee4dee3e55286,Nissan,Sentra,2015
VE000095,14e97ee6dc8193e2a0669a20,Hyundai,Elantra,2015
VE000096,6fdd1a4ae34e9b7fe1605bcf,Ford,Escape,2010
VE000097,5baa60bcae8dc1ee9feeec20,Hyundai,Elantra,2009
VE000098,0ed14a38e499d2f8c7721a11,Toyota,Corolla,2020
VE000099,a3e3c7814aea1ed28758ff6a,Chevrolet,Malibu,2020
VE000100,7657dd0b10008e0fde0d9b79,Nissan,Sentra,2023
VE000101,ef735253db8167587512377c,Toyota,Corolla,2008
VE000102,8b8fd0d452a8734eba0c633c,Hyundai,Elantra,2013
VE000103,d622e823dde3bab33f647419,Toyota,Corolla,2023
VE000104,ac07ba1817a8f30d34f11be1,Kia,Sportage,2021
VE000105,553b03161524a282b7e36a7e,Hyundai,Elantra,2018
VE000106,36f82089dd44ffccd84f3df7,Nissan,Sentra,2011
VE000107,a3e2ded3a43268012e285502,Nissan,Sentra,2009
VE000108,153ce42529c5c7db8f1f1046,Honda,Civic,2014
VE000109,0cb40b76ec99f883f30c23c9,Kia,Sportage,2023
VE000110,abf7bb30adc2cba6f46947a3,Ford,Escape,2009
VE000111,67b7f396e6e887cda0b54910,Toyota,Corolla,2016
VE000112,006ef3518fe7b91042066394,Nissan,Sentra,2009
VE000113,5fd937cd14434bb670ae4416,Honda,Civic,2018
VE000114,51861becc3d7fcf72336a594,Toyota,Corolla,2014
VE000115,bb14747da71f24e3ba1116e1,Nissan,Sentra,2012
VE000116,702ef9b2d0568b2c7f80dc0c,Kia,Sportage,2020
VE000117,ee4194aa01f9a10e54a0a77d,Toyota,Corolla,2017
VE000118,e48b39fdb59360be9564bae1,Honda,Civic,2015
VE000119,b853582c38ced45096027132,Nissan,Sentra,2020
VE000120,737825fb67babee07d2ac78e,Hyundai,Elantra,2025
VE000121,6b7d2121539e12ba7507d36b,Ford,Escape,2020
VE000122,1174aab9c908865f1a28e6b1,Kia,Sportage,2012
VE000123,dc9225a1bcd88accdc25adbb,Kia,Sportage,2010
VE000124,94818bd1d7e45c5622282312,Nissan,Sentra,2019
VE000125,95e34c9802a4cf4e87d520a4,Toyota,Corolla,2011
VE000126,d7aed4e1d6d3ae005acce7f1,Chevrolet,Malibu,2015
VE000127,8efeeb98f2d15d18da5ee908,Kia,Sportage,2010
VE000128,c904642d61d9d38120226aaa,Ford,Escape,2020
VE000129,4007ba5c7a626c94fd76d2ce,Kia,Sportage,2018
VE000130,ee3a6ba196e62a9930e2035d,Toyota,Corolla,2016
VE000131,f3fe8b94508f002da5400f04,Kia,Sportage,2022
VE000132,cd60f62bd5abba8571365ae0,Chevrolet,Malibu,2015
VE000133,c1c852ddc2e1c1b5141c0141,Ford,Escape,2025
VE000134,5109ab074a95dde9b9d28df8,Chevrolet,Malibu,2021
VE000135,38265ab0b1da758c797ce89b,Honda,Civic,2020
VE000136,e9a6c4c371fef0f20d71dcf5,Toyota,Corolla,2017
VE000137,d0182cffe5ae2be77b18b1db,Kia,Sportage,2015
VE000138,58b57161036204be93b0987f,Hyundai,Elantra,2010
VE000139,8a1069a827b84e88d0d5cc9b,Toyota,Corolla,2016
VE000140,2b4d80dc84154447e25eaed2,Honda,Civic,2020
VE000141,2a1d1a62f074dd3ea9665b5d,Hyundai,Elantra,2012
VE000142,1f1759b74ff545e0ace042dd,Hyundai,Elantra,2020
VE000143,69099fc78c3c80edc56b02e3,Ford,Escape,2019
VE000144,8e5897a4f371848dc6863521,Toyota,Corolla,2010
VE000145,db32c137cf2db4a84cb9b0f6,Toyota,Corolla,2017
VE000146,38c894aa1b3af48f7fbbe948,Chevrolet,Malibu,2019
VE000147,063e8e2933c2ab585ba4f0fb,Kia,Sportage,2016
VE000148,afae5746ce42be8c11125019,Toyota,Corolla,2012
VE000149,70da81ce2480429237ab4ac2,Toyota,Corolla,2013
VE000150,b95b6ce64f33e3cb4bb6aa6f,Chevrolet,Malibu,2022
VE000151,518f1dc4c853fc2cd015543c,Nissan,Sentra,2025
VE000152,c757976237fe65672b7a6da8,Nissan,Sentra,2021
VE000153,4dc8e0f63f0a7e66ddb78b52,Toyota,Corolla,2008
VE000154,89e52d97f2eec7efa9755d74,Toyota,Corolla,2019
VE000155,6f80c41e6e13f8424a35bc66,Nissan,Sentra,2010
VE000156,913e516bb14b1e605c23a340,Nissan,Sentra,2018
VE000157,fbb9ea84d54424bcdf68441e,Kia,Sportage,2020
VE000158,af7adb1e54b7a361357dcbf4,Toyota,Corolla,2017
VE000159,7231e8ca0841f6fa83e5737c,Chevrolet,Malibu,2020
VE000160,c4221b45f36076e56f753ab3,Kia,Sportage,2010
VE000161,1facac286c196e398ce20227,Hyundai,Elantra,2025
VE000162,75d0d827e3f45adbbde1bf85,Honda,Civic,2024
VE000163,72ea3e3b92fa83c6a4893241,Honda,Civic,2020
VE000164,1c4d81be268af17b7a0fd4f1,Honda,Civic,2012
VE000165,c367d0da967dab4782f8ddf7,Ford,Escape,2017
VE000166,54fc1bd7ea9200e780c0be48,Ford,Escape,2023
VE000167,f886c9e7fae7a5912ccfe5f5,Honda,Civic,2010
VE000168,98c35f4b2a8e37f33874ee5f,Honda,Civic,2021
VE000169,6a40b7909cd9118a9f0d69be,Ford,Escape,2021
VE000170,d2360d98278769ee91ca7938,Ford,Escape,2023
VE000171,d5d9108bcbe5ef7ff858ccfa,Kia,Sportage,2010
VE000172,1c6efd123f640cd82465f6b4,Ford,Escape,2016
VE000173,8f8781ecd6e77c7268e37a21,Honda,Civic,2023
VE000174,9f87705e86f27ccaaa05bb34,Nissan,Sentra,2014
VE000175,437eb63220080653e6db5ee0,Chevrolet,Malibu,2011
VE000176,b36a76f38928ee66415c9dce,Honda,Civic,2017
VE000177,92d8d985eb7061c0b1513765,Toyota,Corolla,2020
VE000178,32ba20774c1347746fadb243,Ford,Escape,2020
VE000179,e1f636c48775a7023f23eea5,Kia,Sportage,2018
VE000180,465eec4f942491cc5b229e47,Chevrolet,Malibu,2018
VE000181,b3416f8b7aa372bfa0fc2e11,Chevrolet,Malibu,2012
VE000182,6c6a91983828c3d4831e5d7e,Ford,Escape,2018
VE000183,9174f10f028c44537a716011,Nissan,Sentra,2014
VE000184,988e9c61e55dd4bbfe99b497,Chevrolet,Malibu,2018
VE000185,0279ff27428fa9e86f322290,Honda,Civic,2020
VE000186,a8103dc5bbe40331bb10876c,Ford,Escape,2017
VE000187,1d7161be9e5eb8d2a0a1d52c,Hyundai,Elantra,2023
VE000188,3e8e5c3fc33ef56f7a3a5b6d,Nissan,Sentra,2015
VE000189,2b0308e8ae6bb719518ca1e2,Ford,Escape,2020
VE000190,5453b026386b6000130b0206,Ford,Escape,2020
VE000191,585140f3ce1e26da2a2b7324,Ford,Escape,2011
VE000192,a4339643d3972f6792b2ac8a,Nissan,Sentra,2014
VE000193,753ae1b6528b081bd8e51537,Nissan,Sentra,2025
VE000194,19b534f63c70b46b3f996b6c,Honda,Civic,2025
VE000195,29e872a699f7032f93afba3e,Toyota,Corolla,2022
VE000196,8cc29a2e24bc586424502654,Hyundai,Elantra,2014
VE000197,b908dcd9d2b306000623866a,Chevrolet,Malibu,2017
VE000198,db5a63105366356438445d9d,Kia,Sportage,2010
VE000199,aef06178db6951e163446598,Kia,Sportage,2021
VE000200,8f3b809d5bd6372a9915b913,Hyundai,Elantra,2023
VE000201,4d3002d754624037b0eb1037,Honda,Civic,2017
VE000202,4729530623418ba8c77caa95,Honda,Civic,2016
VE000203,ffd00653f1e398efd257b5f0,Hyundai,Elantra,2012
VE000204,f78aefdf4d6043d0463ca61c,Hyundai,Elantra,2021
VE000205,2a486fea1f9f6269b76e6170,Kia,Sportage,2020
VE000206,d7e197f378370a2619f009be,Toyota,Corolla,2022
VE000207,02c7ff11f7209d810ac3f0a8,Nissan,Sentra,2023
VE000208,c535d728ff4729ae6ea6a1e5,Nissan,Sentra,2020
VE000209,0999384f81c0b2859fad28cd,Nissan,Sentra,2024
VE000210,6d9d9e3808ff28f4980c35d6,Kia,Sportage,2021
VE000211,ad3c9699c41bd0df3593cd66,Nissan,Sentra,2009
VE000212,203c016563e08d5900c16c67,Kia,Sportage,2019
VE000213,2fb3a5acae69c3d6d7811c74,Hyundai,Elantra,2025
VE000214,80d8e0c1922b8d2735dba717,Nissan,Sentra,2010
VE000215,add271c476ac70b0c87e3faa,Toyota,Corolla,2015
VE000216,6b4e80e955be7048283a1265,Hyundai,Elantra,2019
VE000217,6153503b3b7e3f26a0dc2bf2,Honda,Civic,2009
VE000218,7e9268f17a360017536929a2,Nissan,Sentra,2020
VE000219,9207a1776888fd1070ec64dc,Kia,Sportage,2018
VE000220,c3ef9ddae417277545428e2b,Kia,Sportage,2021
VE000221,ce61d2dcf254b66044e3d232,Toyota,Corolla,2008
VE000222,9da1572179a481c33aeb2ac4,Toyota,Corolla,2016
VE000223,6813a6f5603bb2d397476159,Honda,Civic,2024
VE000224,e6b7f9c261b1719275299cde,Hyundai,Elantra,2024
VE000225,ea550bb339e7e66b65dfe033,Nissan,Sentra,2015
VE000226,a118c804e5098eb64d1037c6,Chevrolet,Malibu,2019
VE000227,b7de971d4463154925d6e24b,Chevrolet,Malibu,2022
VE000228,3c42b512077e1f963968d5d4,Kia,Sportage,2024
VE000229,d1d95b8073f07daed70f78bc,Honda,Civic,2019
VE000230,a0e70ebe589ae9ff470e3d6c,Toyota,Corolla,2023
VE000231,7786d9c727b43ffa18a9aeaa,Toyota,Corolla,2017
VE000232,f31ff2a5fe0d569433ca326e,Chevrolet,Malibu,2010
VE000233,7bd9ec0a11e4b6e2a3627a85,Toyota,Corolla,2012
VE000234,2c2a6064ce2dd75422a6640e,Ford,Escape,2017
VE000235,ef57b703f746d482549a9458,Ford,Escape,2022
VE000236,3b4566d857b2a54706de7b57,Kia,Sportage,2014
VE000237,911c0fa42037dcf864481696,Nissan,Sentra,2023
VE000238,d8853c48f0f657b1c4c536c1,Ford,Escape,2023
VE000239,0ae03acf0fc7229af5d026c1,Toyota,Corolla,2022
VE000240,d29861fe5765d33c9e16f4fc,Hyundai,Elantra,2022
VE000241,ae4f93b1f800bcd5d87f0341,Ford,Escape,2010
VE000242,281cadd02c8b5be575f45d57,Ford,Escape,2009
VE000243,edd62607c25149d719eeb568,Kia,Sportage,2011
VE000244,a66f27758be27110b485e868,Toyota,Corolla,2018
VE000245,831a10c1dcc620dde2c8799c,Hyundai,Elantra,2011
VE000246,d54b5b6fd0a007d39893d718,Hyundai,Elantra,2013
VE000247,1b86ad0fec6ebb6992e6e41e,Hyundai,Elantra,2015
VE000248,0f75255b0aa9e55cee09577c,Nissan,Sentra,2013
VE000249,a72678ddbe5d85c49663336c,Nissan,Sentra,2013
VE000250,91baa20787d220910e7c7bce,Ford,Escape,2025
VE000251,40906aeda4cf76e1bfad1334,Chevrolet,Malibu,2022
VE000252,a7dab9410fc50af1b19a23a9,Honda,Civic,2020
VE000253,117c3b3ba8c93b5bcf3a821b,Hyundai,Elantra,2013
VE000254,18ec4609fc101db496839de0,Honda,Civic,2021
VE000255,a6d8bb06adaa102cb95768f5,Chevrolet,Malibu,2008
VE000256,a49f5eda18434c786b474a79,Hyundai,Elantra,2014
VE000257,0221dd85e217a2f59ab8f916,Chevrolet,Malibu,2021
VE000258,5cdd1f076fb285ee25df5e11,Chevrolet,Malibu,2008
VE000259,0885666912c73ff48875e5bb,Hyundai,Elantra,2014
VE000260,eb59f07d47d40d0f03eb1b73,Honda,Civic,2016
VE000261,835d4e848fb5fe1817ed70db,Kia,Sportage,2010
VE000262,23eba6405c7881841902ca5d,Nissan,Sentra,2011
VE000263,c37084ae14b7c0a61b16e836,Kia,Sportage,2025
VE000264,ed986437365641ce2c801f2e,Honda,Civic,2019
VE000265,d71e1d9b835fa7820dad987b,Ford,Escape,2014
VE000266,950962245aeaf4f0d25f3604,Chevrolet,Malibu,2011
VE000267,bb5ef23034f9caabea15b974,Ford,Escape,2023
VE000268,63b67ab6821edfd31c9438eb,Nissan,Sentra,2018
VE000269,8accaf6b85b50c9130b35050,Nissan,Sentra,2020
VE000270,5c8f7c8e7edd73136a4c5b3a,Nissan,Sentra,2020
VE000271,97063125167d206a0be95387,Nissan,Sentra,2011
VE000272,13a5e7c0a1ef4d5b94055089,Ford,Escape,2019
VE000273,ebf1943b29e6cad8ddae0bf8,Kia,Sportage,2022
VE000274,3ec8004039d1ee8b4601e239,Nissan,Sentra,2013
VE000275,d98e653416d1a3c52f80e3b1,Kia,Sportage,2017
VE000276,515ea1058372e52d7145cc45,Nissan,Sentra,2010
VE000277,30e1ca7b2e0f71e4cecd6e24,Hyundai,Elantra,2012
VE000278,f7870dc5d08d375f21c6db60,Ford,Escape,2011
VE000279,23cc092f6b062426fb30f6ea,Honda,Civic,2017
VE000280,e98946399a38ad8c9db115d1,Toyota,Corolla,2013
VE000281,d9e48839821c5448f39a0b8e,Ford,Escape,2012
VE000282,0de9c49a98c9e59ef643adb0,Nissan,Sentra,2020
VE000283,d88547ea44909f2032610014,Chevrolet,Malibu,2012
VE000284,194df73363241f0ef9b9e903,Nissan,Sentra,2020
VE000285,35983ddc4b361de9033cc154,Chevrolet,Malibu,2013
VE000286,9d629b22a0d9a277d55db437,Chevrolet,Malibu,2025
VE000287,15096e61ae04c373f8a8c8d4,Hyundai,Elantra,2013
VE000288,64f6bd1ce444f0051dad7ddb,Nissan,Sentra,2013
VE000289,1f3b73f3a67a5d42f8146cc2,Chevrolet,Malibu,2017
VE000290,23d0162183c19bfbca684fae,Honda,Civic,2013
VE000291,b2112b0db319e9b4d53b7898,Ford,Escape,2022
VE000292,b9ebc65aef383c5ecfca42e3,Nissan,Sentra,2009
VE000293,9a522eca3023237c3f66dcff,Kia,Sportage,2019
VE000294,ad36918e71e45c6ddb1261c7,Toyota,Corolla,2023
VE000295,540b822fe51b218c958202d7,Honda,Civic,2014
VE000296,87b7647c849324cc4097aa69,Kia,Sportage,2020
VE000297,101aab07201ffb6b32f6c206,Nissan,Sentra,2024
VE000298,37d09eabfa46fe1c1846ee7c,Hyundai,Elantra,2023
VE000299,979c4903c2de853291ecc8ad,Chevrolet,Malibu,2023
VE000300,7dc253dcc14f3c73a0c982b7,Chevrolet,Malibu,2022
VE000301,d954b70d5ec55f1dec7ff5cf,Chevrolet,Malibu,2013
VE000302,328fff17e3efbc2139d31328,Toyota,Corolla,2008
VE000303,87c8f1bbee1291be426617b6,Kia,Sportage,2015
VE000304,41b883ac75f0603ac4c9bafe,Ford,Escape,2009
VE000305,f3ab8177c65f283dc31715ac,Ford,Escape,2015
VE000306,bfca01300e67abd33c478397,Nissan,Sentra,2017
VE000307,6fe6ef45b4bb78ea78000a8d,Honda,Civic,2022
VE000308,82a39b099975f100afed505b,Nissan,Sentra,2023
VE000309,72bc49eec349fcf679d73e27,Nissan,Sentra,2024
VE000310,a05577950615b8803b619f20,Toyota,Corolla,2011
VE000311,b617497de59d5f7d5fcc683e,Ford,Escape,2025
VE000312,bc5aedbd4770ff6483134d89,Kia,Sportage,2019
VE000313,50aab183b8789e7b028d48bb,Nissan,Sentra,2009
VE000314,3de8047b773ec1bb53db0c06,Kia,Sportage,2022
VE000315,d4a87911417b07f7af803eca,Nissan,Sentra,2014
VE000316,9c15475bcf1e638af4f1debf,Chevrolet,Malibu,2011
VE000317,de9262e0ce6c7c3ca0fd312c,Hyundai,Elantra,2015
VE000318,138fc96d61f36fb75b765f2a,Ford,Escape,2009
VE000319,4b3d65bc8befa1985a9b3189,Chevrolet,Malibu,2016
VE000320,7ad879f719cbe4af9476dd8c,Ford,Escape,2010
VE000321,62d57e657a9fbe3d76d81807,Chevrolet,Malibu,2011
VE000322,01cb4d6eff1cd2efe30ff3b5,Kia,Sportage,2015
VE000323,af19634974eb30dfe66760c3,Honda,Civic,2019
VE000324,a9dcc2160497343c738f360e,Kia,Sportage,2021
VE000325,7cd318fe77ab1f997af70ed7,Honda,Civic,2012
VE000326,dbd5badfbb2360a349a04fc8,Kia,Sportage,2014
VE000327,fc5cb2b2d38741033108fb34,Kia,Sportage,2014
VE000328,4a1bbb23a06a13da77ea7e16,Kia,Sportage,2009
VE000329,bccbd6af9d39855fefaaf26f,Nissan,Sentra,2019
VE000330,4e578146056485376541a59c,Nissan,Sentra,2016
VE000331,c71e88f5f21e8b68ce87c91a,Nissan,Sentra,2025
VE000332,a90a92c686ad1330912c8b36,Honda,Civic,2018
VE000333,2a4a5cec927340b60194c694,Hyundai,Elantra,2017
VE000334,db6fb88dc4c2b260368a2880,Ford,Escape,2016
VE000335,2526053e101e8b1f5bb48d0c,Kia,Sportage,2024
VE000336,df80f3379ba59e9192f0c1d1,Hyundai,Elantra,2011
VE000337,9fea194b1de029dc6bcd7298,Honda,Civic,2021
VE000338,6f7f54d02f34b710b442e60b,Toyota,Corolla,2016
VE000339,4097bf0f08b844605c867f2a,Kia,Sportage,2012
VE000340,e00cb0429f5c74e1dca212eb,Hyundai,Elantra,2012
VE000341,95bc1190d5b779202fdd3f6e,Honda,Civic,2012
VE000342,dfc3524b8421997d14d0cf9d,Hyundai,Elantra,2018
VE000343,251f91676cbb0511d178723a,Kia,Sportage,2015
VE000344,dbd197163f60ee0c833ac008,Kia,Sportage,2020
VE000345,b9a5a24535ca91c2ff12e579,Chevrolet,Malibu,2012
VE000346,969b59928541d1839c2e293b,Nissan,Sentra,2016
VE000347,af8064334e68c6882da2f74d,Hyundai,Elantra,2021
VE000348,587d471c091c264dfb9c8d04,Chevrolet,Malibu,2022
VE000349,9a67b2b00b9a125ebd5ff40b,Toyota,Corolla,2010
VE000350,9c0e04a28bcb00ca8c4d52c0,Chevrolet,Malibu,2024
VE000351,c8bc091639c06bbaeaadfc58,Hyundai,Elantra,2016
VE000352,27bf5323900ef88fd7d79a12,Hyundai,Elantra,2019
VE000353,203f5844c7d03b7c0763a0a9,Chevrolet,Malibu,2023
VE000354,a28af9b93e43ebe05a504054,Ford,Escape,2008
VE000355,60137c84211cb5de666b3a13,Kia,Sportage,2010
VE000356,76ea22afcbab5e84820a0a36,Hyundai,Elantra,2022
VE000357,63620f9107465c7cdc54ab69,Hyundai,Elantra,2019
VE000358,14482c22f22a97ea14d1efcb,Kia,Sportage,2010
VE000359,555b17fc6d374040fc5595c1,Kia,Sportage,2025
VE000360,32008a5e39458bdd407d4ae8,Chevrolet,Malibu,2014
VE000361,9f868dfc3b9e79037f9300bb,Chevrolet,Malibu,2014
VE000362,94f1d5b616275a31d0b5a89e,Chevrolet,Malibu,2016
VE000363,47690650418f72bbe00f0886,Ford,Escape,2017
VE000364,6a0a96fdbf983dfe4af32d17,Ford,Escape,2025
VE000365,dd783707eb6c166559527e06,Nissan,Sentra,2012
VE000366,2cbb8c01c92eb8edd87643ed,Nissan,Sentra,2023
VE000367,8880a0022d493720055ea9e4,Kia,Sportage,2018
VE000368,8dfc732e8c61e3d9f2b4a740,Hyundai,Elantra,2009
VE000369,392e784e76ee715d272c3246,Toyota,Corolla,2011
VE000370,ca74b9d9b5b3577f5f099b24,Hyundai,Elantra,2022
VE000371,20d28c665e00bad86de87957,Toyota,Corolla,2011
VE000372,72fc5f1151de4cb3d2a4d103,Kia,Sportage,2013
VE000373,801c90f31b69a7ed9aa8b46b,Chevrolet,Malibu,2022
VE000374,5457501588ec8a95bc80b0ba,Toyota,Corolla,2021
VE000375,d462c9544e8fe92b146197be,Honda,Civic,2012
VE000376,849e9c10784dfc4c1cbe1d9a,Hyundai,Elantra,2017
VE000377,df711910a2d14f2ed1eeab62,Honda,Civic,2016
VE000378,4b7452673d0767d344f02ded,Toyota,Corolla,2019
VE000379,18241b6a81c979d7ae5fba5a,Ford,Escape,2010
VE000380,d8c977b57657b2536faee7d7,Ford,Escape,2013
VE000381,138c1bc38bdc6a8156810c48,Toyota,Corolla,2020
VE000382,4efc101f1e73e21b7994e2d4,Hyundai,Elantra,2017
VE000383,4a3ab34424bdb72e1692cdca,Hyundai,Elantra,2015
VE000384,d33f7e1dd419a1b36c59e926,Chevrolet,Malibu,2010
VE000385,f51899caba20dbba4694d00a,Hyundai,Elantra,2011
VE000386,bbb670138fbdebba9931c8e8,Toyota,Corolla,2014
VE000387,ef0cc5ceeeea94efdab1feae,Chevrolet,Malibu,2010
VE000388,4f6075faaec85ff2a82979ae,Honda,Civic,2015
VE000389,20a42f8ec41c8e9afdf89a34,Nissan,Sentra,2022
VE000390,2ff2be201546d53776a76d09,Toyota,Corolla,2008
VE000391,5572b34871d8d0297cbbb42a,Hyundai,Elantra,2018
VE000392,7f9e4835812da41b65a8141d,Kia,Sportage,2011
VE000393,29b40bbae9505698f61948a5,Kia,Sportage,2021
VE000394,b308ebdadd9715b0e9e9ab22,Hyundai,Elantra,2012
VE000395,26c8b5ec65c649068c459721,Chevrolet,Malibu,2010
VE000396,573dc302c1f693c14c87cb06,Honda,Civic,2020
VE000397,8e8287003c657fbc8f829bf8,Toyota,Corolla,2011
VE000398,8cd7552efab9931c33a09f77,Toyota,Corolla,2018
VE000399,2f886a654d257574a218f390,Ford,Escape,2017
VE000400,771f33477ff9be6e0c8ca1fc,Honda,Civic,2020
VE000401,21c4bb8ea6e7ef7d398c88ce,Kia,Sportage,2012
VE000402,902d20643260996be2f64c1a,Hyundai,Elantra,2012
