claim_id,policy_id,policyholder_id,claim_type,incident_date,filed_date,days_to_file,claim_amount,approved_amount,status,description,vehicle_id,provider_id,shop_id,law_firm_id,adjuster_id,payout_bank_account_id,submission_channel,ip_hash,device_hash,label_is_fraud,fraud_scenario
CL0000010,PO000826,PH001280,HOME,2024-01-14,2024-01-21,2,43362.77,17707.0,DENIED,Administration issue floor here these theory senior window.,,,,,AJ000025,BA001249,WEB,b20ce711f5071b71cd4dd867,1491160d16d92229e10c2f33,1,shared_bank_account_ring
CL0000011,PO001745,PH001508,HEALTH,2024-02-20,2024-03-05,14,17605.25,8528.71,DENIED,Artist happen day hit cut health particularly commercial.,,PR000034,,,AJ000004,BA001097,AGENT,502dd41e57c948553d8d77c8,e30a80f244d74e16d75f85c6,0,
CL0000012,PO001401,PH000611,AUTO,2025-05-27,2025-06-10,14,13964.37,5925.87,APPROVED,Almost listen thought institution officer until against.,VE000437,,RS000144,,AJ000038,BA001979,WEB,da3097c2199b0d084125482a,f260f7ac231e823b526dfcd4,0,
CL0000013,PO002528,PH002054,AUTO,2024-05-12,2024-05-17,5,12914.89,6265.09,PENDING,Sell should bed himself direction consider court them because suggest represent personal.,VE001445,,RS000032,,AJ000045,BA000611,PHONE,9116a96727c8204723060329,bbf4558cee0c95bbf1c0b581,0,
CL0000014,PO000015,PH000553,AUTO,2024-10-02,2024-10-09,7,18841.13,12774.97,PENDING,Other write mother property management main chance size.,VE000422,,RS000087,,AJ000040,BA001523,WEB,cc9f7af2ce6df76217f3b0a9,f8594ad907ca5f6b5d97b9a6,0,
CL0000015,PO000316,PH001862,AUTO,2025-03-15,2025-03-29,14,17803.93,13011.97,DENIED,Tonight however girl sound decision step ok power car seek director red if term difference turn.,VE000079,,RS000119,,AJ000029,BA001239,WEB,5fa31102f9fef1426120a417,4a9ebab34a7d155d37e16d15,0,
CL0000016,PO001268,PH002093,AUTO,2024-07-06,2024-07-09,3,17986.9,8762.29,DENIED,Body chair cause you environmental discuss morning teacher add write expect.,VE000533,,RS000088,,AJ000033,BA000973,WEB,d6a4b1c1460a6d0d923b0fe5,2515cf99d7ea59d7f177906b,0,
CL0000017,PO001230,PH001009,AUTO,2025-10-30,2025-11-06,7,21506.71,13920.06,APPROVED,Much trade key speak place phone specific allow.,VE001778,,RS000118,,AJ000048,BA001056,AGENT,a4c153ee2bd9be89af8d9047,b5a2f505a2b47f4f9feb2040,0,
CL0000018,PO001252,PH002208,AUTO,2024-07-21,2024-07-28,1,8063.29,5526.5,APPROVED,Truth low wind well six list several.,VE000674,,RS000154,,AJ000024,BA001482,PHONE,0600aedaa3452fb37119089f,af9d14f8c222d53c1616b043,1,rapid_reclaim_burst
CL0000019,PO001663,PH002086,AUTO,2025-12-29,2026-01-12,14,5523.37,2340.01,APPROVED,Call mother certain as indeed worry outside air movie else will word community page none federal.,VE000641,,RS000157,,AJ000003,BA000927,AGENT,67aefe8d3db068103495d56f,be04985c9d08839d90e52cc3,0,
CL0000020,PO000076,PH002455,AUTO,2025-10-18,2025-10-21,3,7011.84,2999.74,APPROVED,Make gun onto practice memory decision college hundred better fly field stay ten human.,VE000125,,RS000012,,AJ000000,BA000269,PHONE,91726c70896414cf5e467d01,19bccb67aa1709d55eacb8b2,0,
CL0000021,PO001978,PH001155,HOME,2024-08-21,2024-08-26,5,30824.85,24104.65,APPROVED,Shake imagine bit sea suddenly animal moment offer.,,,,,AJ000008,BA000515,AGENT,d1486f8a812cd764d1414b9a,4f94f91a0e82043371c04ec8,0,
CL0000022,PO000629,PH000404,HEALTH,2024-02-03,2024-02-06,3,10798.7,4821.52,PENDING,Activity add tend field after reality candidate analysis who place resource.,,PR000245,,,AJ000040,BA000240,AGENT,02740b9f243d9848f078c434,e74b560d7110108ae527121a,0,
CL0000023,PO001360,PH001365,HEALTH,2024-05-31,2024-06-05,5,13588.13,6812.96,APPROVED,Better group hour main walk give operation exist week fear.,,PR000046,,,AJ000004,BA001059,PHONE,9dfd309aa305973dba72dfff,d4ffdc7472f8915b4818765a,1,shared_address_phone_cluster
CL0000024,PO001724,PH000829,AUTO,2025-08-08,2025-08-22,14,1070.26,584.62,PENDING,Traditional provide difficult customer like generation year TV his thing compare set ready.,VE000912,,RS000055,,AJ000039,BA002160,PHONE,b51f1e58fa97c0f81c65419f,0b05d9256dccb8eb5d8b804c,0,
CL0000025,PO001836,PH001754,HEALTH,2024-11-09,2024-11-11,2,15046.34,13986.4,DENIED,Impact person matter member seven century popular director entire recognize manager crime woman daughter.,,PR000165,,,AJ000039,BA001709,AGENT,43f7353de2d3c987b2765745,bb3fc9ac424d7834fb495dcc,0,
CL0000026,PO001971,PH000347,HOME,2025-05-03,2025-05-17,14,12675.45,5208.77,DENIED,Surface never raise production keep or they cold pressure partner.,,,,,AJ000027,BA000669,PHONE,796468e796c7e0de9bb343e3,1553e4d39ef4b2ec58425188,0,
CL0000027,PO000967,PH001502,HOME,2025-02-16,2025-02-21,5,7496.34,3064.09,APPROVED,Space start true lawyer available significant pressure probably response entire audience item thing such song.,,,,LF000040,AJ000003,BA001770,PHONE,6b0844c08f01acc0bfaaa799,f242a8e088f5e31aa2907cd3,1,shared_address_phone_cluster
CL0000028,PO001665,PH002241,HEALTH,2024-03-10,2024-03-24,14,8238.66,7826.73,APPROVED,Fill may few area size buy hot work paper them.,,PR000151,,,AJ000020,BA001302,WEB,3dd4876c80b5ffa9e0732717,1c5cc1cacab875abf1d45027,1,collusive_provider
CL0000029,PO001163,PH000491,HEALTH,2024-06-29,2024-07-06,7,10856.7,8666.52,PENDING,During century just author after two look throughout main recognize soon.,,PR000191,,LF000027,AJ000028,BA001489,PHONE,0a4503e013e33865adb532bf,608c9fa6dc7870c953b304d7,0,
CL0000030,PO002338,PH001558,HOME,2024-08-18,2024-08-25,7,8476.32,6129.36,DENIED,Ok unit mother down before adult daughter people fish goal whatever free education.,,,,,AJ000013,BA000750,AGENT,8ebe3b61a9fce3960e57b04e,3755990a5cfa3cb7481b0d4e,0,
CL0000031,PO001420,PH000828,HEALTH,2024-06-27,2024-07-04,7,8328.79,4468.11,APPROVED,Artist blue be since democratic occur indeed message attorney within hot money fine.,,PR000204,,,AJ000006,BA000906,PHONE,6df82f3d57d8a338f0325e4e,52a8aa3b9e1fbd42d9dc3c99,0,
CL0000032,PO000952,PH000804,AUTO,2024-10-10,2024-10-15,5,14136.31,7060.15,APPROVED,We section huge detail up relate loss left fine.,VE000942,,RS000108,,AJ000011,BA000624,PHONE,a5b2c82afddbe6cbc7d64c32,50eed6424163e0dd4681e086,0,
CL0000033,PO001038,PH002411,HEALTH,2024-01-23,2024-01-30,7,14776.99,7189.09,PENDING,Good degree fear past radio response southern edge thank official meet major husband.,,PR000061,,,AJ000002,BA001327,PHONE,d1ffe9ea70a03cec1a1c4cf8,ff4f6df2a7d4cf450f014c33,0,
CL0000034,PO000197,PH002460,AUTO,2024-05-08,2024-05-11,3,3599.86,2843.12,PENDING,Need tough chance chair can hear want important financial face certainly finally hot.,VE001497,,RS000091,,AJ000031,BA000221,PHONE,4bd5e92ccc079e9dbe0f8ff4,a413abfbb44e893a8eab103e,0,
CL0000035,PO002597,PH000009,AUTO,2025-12-16,2025-12-17,1,4019.97,3100.63,APPROVED,American consumer entire full thousand attention could cut value.,VE001396,,RS000100,,AJ000005,BA000640,PHONE,3bfd385330b04ba26b5c525e,b8908630d2fff6c6f48eb376,0,
CL0000036,PO000358,PH000567,AUTO,2024-05-14,2024-05-19,5,11626.67,9579.01,PENDING,Form reveal lay service book western all condition enter fear safe art.,VE000308,,RS000150,LF000015,AJ000046,BA001414,PHONE,170d9185cb8f7d9d55391e2b,2b18d02c8c5a66b6e03bcffb,0,
CL0000037,PO000914,PH001480,HEALTH,2025-12-06,2025-12-11,5,17539.1,17012.93,APPROVED,Far education standard cold newspaper movie visit its dream writer too produce call.,,PR000223,,,AJ000000,BA002036,PHONE,19d83764f6f16d475af3c05d,07d11eb35bab17aa36290622,1,adjuster_collusion
CL0000038,PO001466,PH002320,HOME,2025-05-23,2025-06-06,14,14035.45,6954.88,PENDING,Generation majority gas truth so age situation notice international figure box.,,,,,AJ000041,BA000538,PHONE,305b25511648173b79d62c1e,5516f50841ca119ddfd041c6,0,
CL0000039,PO001007,PH001303,HEALTH,2024-01-18,2024-02-01,14,2587.48,2247.59,PENDING,Dream choose mention hold size might similar no him itself chair show.,,PR000171,,,AJ000034,BA001493,AGENT,c2860b7ed94f315f6ed6ec6e,74c4b5be7765668d0652d083,0,
CL0000040,PO001771,PH000645,HOME,2024-08-31,2024-09-05,5,27379.08,25099.81,APPROVED,South song scene tax all measure media over ever cultural up anyone adult person.,,,,,AJ000018,BA000630,AGENT,58ea4e85544144c00b653e7a,d242b0847e221a051b61e981,0,
CL0000041,PO002303,PH001354,AUTO,2025-11-06,2025-11-11,5,17943.92,11573.22,APPROVED,Lead church mission theory meeting provide identify cultural bill agent set goal may already catch.,VE000316,,RS000078,,AJ000013,BA001730,AGENT,626d9e1de36e171eb5e021be,2ee6532fd119dc72ba14336f,0,
CL0000042,PO000172,PH001528,AUTO,2025-08-30,2025-08-31,1,1735.58,1092.86,APPROVED,Within cultural weight crime quite half language final movie agent ago soon hope candidate will read.,VE000393,,RS000012,,AJ000038,BA000609,AGENT,8eb949b73f045e3d070ccb33,62b9a794ba9ea5965bf98318,0,
CL0000043,PO002148,PH001229,AUTO,2025-05-27,2025-06-03,2,15865.82,11418.46,APPROVED,Somebody race night who treat technology around response address management really.,VE001600,,RS000168,LF000015,AJ000035,BA000245,AGENT,152ead51440279a4f50d7e04,0f9e9534f448578929bff39a,1,shared_bank_account_ring
CL0000044,PO001937,PH000675,AUTO,2025-12-25,2026-01-01,7,20672.65,18191.93,APPROVED,Anyone right him leave own nature pay hour fine hear Mrs.,VE000187,,RS000119,,AJ000042,BA001563,PHONE,43504a83f96dc28bdb8f5dde,19b4fc0ab9c5d5791590222d,1,inflated_repair_shop
CL0000045,PO002280,PH002471,AUTO,2025-07-03,2025-07-17,14,8860.1,5879.05,APPROVED,Back hair career short benefit stop answer voice claim.,VE000639,,RS000124,,AJ000000,BA000459,PHONE,da5f2eb9e6356271ef5702a2,8ce4eb5326515e6c9cf68cce,0,
CL0000046,PO001832,PH000737,HOME,2024-06-07,2024-06-14,7,12633.82,8292.34,PENDING,Cause large resource front perform again center beat answer test if.,,,,,AJ000046,BA000117,WEB,4d6a8e559935dec3c92479ff,9bab1aa7144786d975ea3e79,0,
CL0000047,PO000203,PH000140,HOME,2025-02-13,2025-02-20,7,18454.8,13764.44,APPROVED,Western term red letter how else officer kitchen dark building reduce.,,,,,AJ000006,BA001045,PHONE,0c30f51a2a683a27c9ff4528,e074adfe54b923a477f02d2b,1,shared_address_phone_cluster
CL0000048,PO002488,PH002279,AUTO,2025-07-15,2025-07-18,3,10582.75,5766.43,APPROVED,Nothing him mention feel need defense analysis agency data fear.,VE000144,,RS000111,,AJ000032,BA001711,WEB,5c368ff54546bb9f5f36872c,93b78f4a1252a11c7fa90819,0,
CL0000049,PO002298,PH001830,AUTO,2024-12-11,2024-12-25,14,19736.17,12574.09,APPROVED,Computer make policy street pay none behavior star yourself.,VE001438,,RS000171,,AJ000023,BA001647,PHONE,9cd656fbdd49521c0dcd7e29,5cc310658caf48720cbe658b,0,
CL0000050,PO001019,PH000544,HEALTH,2024-04-01,2024-04-08,7,3929.26,3585.84,APPROVED,Simple free moment job strong seem else under bank lot.,,PR000004,,,AJ000008,BA001431,PHONE,4621280364630d66046c3202,f7d4f74b0aa18fd61eebb8de,0,
CL0000051,PO001755,PH000941,AUTO,2024-12-05,2024-12-19,14,5335.28,3548.82,APPROVED,Character environment unit act plan consider bar beat.,VE000991,,RS000004,,AJ000006,BA001550,AGENT,7d09158dfc40a143bb579d1a,607da7ab777b2f5e1892a712,0,
CL0000052,PO001970,PH000141,AUTO,2024-04-20,2024-04-27,7,4210.83,2952.33,APPROVED,Real treatment movie over tonight general relate agent number kitchen.,VE000629,,RS000003,,AJ000009,BA001075,WEB,9a6b238192ed623d67be18da,ad65fcaeff14ffec24e9c199,0,
CL0000053,PO001535,PH000838,HOME,2024-10-24,2024-10-29,5,2494.22,1806.86,APPROVED,Better miss play receive all close one involve eat establish administration past ago pass sit executive.,,,,LF000047,AJ000046,BA000149,AGENT,3aa767ed587e93f45aef51a9,f0a81baee94006866f572e1f,0,
CL0000054,PO002255,PH001544,HEALTH,2024-08-01,2024-08-08,7,4416.85,3005.67,APPROVED,Soon product tonight civil dark human something read drive impact.,,PR000034,,,AJ000006,BA001604,WEB,479ef8eb5032e624405c5a72,289abb1302aa387fb91750c7,0,
CL0000055,PO001155,PH002219,AUTO,2024-09-11,2024-09-18,7,17175.88,7621.06,PENDING,Prepare situation partner partner wait require really movement majority husband couple whose effort walk behind reach.,VE000915,,RS000080,,AJ000019,BA000925,PHONE,683cd6549808a3c9a1fe14e4,dd45dbd0ee16ec36ccc4d0f9,0,
CL0000056,PO001138,PH000937,HOME,2024-04-18,2024-04-23,5,33681.2,31818.74,APPROVED,Course six again personal court last another simple.,,,,,AJ000024,BA000625,PHONE,0ee9ae5ad6f39726b79b41a6,49dfa89cf6bf8275196998ff,0,
CL0000057,PO000797,PH001147,HEALTH,2025-01-02,2025-01-04,2,2785.84,1352.14,APPROVED,Force every change unit apply training so more.,,PR000199,,,AJ000025,BA000228,WEB,72a7c7ef61d63108d990fd6c,415b246d98853b2d10441ca8,0,
CL0000058,PO001023,PH000012,AUTO,2024-02-08,2024-02-10,2,19808.76,16024.43,APPROVED,Issue despite treatment source bring reflect fact stay close Democrat wait close true life such family.,VE001849,,RS000026,,AJ000005,BA001511,AGENT,052c3c2d1916ba2582f83d3e,9fc045df5450e2fa84db6e56,0,
CL0000059,PO000178,PH001237,AUTO,2024-09-25,2024-09-27,2,15277.02,7976.51,DENIED,Seem far term security the training population improve quality question eat foreign.,VE000049,,RS000086,LF000025,AJ000027,BA000678,WEB,ae8b137671f2edef0852d5b5,b52d49567136fe399294eccf,1,shared_bank_account_ring
CL0000060,PO000736,PH000734,HEALTH,2024-08-10,2024-08-17,7,13929.57,9294.54,APPROVED,Interest help ago other wide Democrat occur test red kitchen again forget sense.,,PR000157,,LF000035,AJ000024,BA000793,PHONE,787ed388eca02bb33f3b4045,f68213c20135206d7295d7b4,0,
CL0000061,PO000575,PH002402,AUTO,2025-04-30,2025-05-05,5,7646.73,6666.25,DENIED,Level bag doctor point spend purpose yes soon guy style growth able for sort mission.,VE001240,,RS000077,,AJ000009,BA000655,PHONE,c18e77c69b014a53c0dadc69,e0c838996a988c65fb338989,0,
CL0000062,PO002274,PH000434,AUTO,2024-06-01,2024-06-04,3,12337.46,6592.82,APPROVED,Again them alone let identify turn police mention option during smile point or experience room.,VE001890,,RS000060,,AJ000019,BA001503,WEB,924693d796bccc50503bf0ab,dafc7819c781fcae0e96cd1e,0,
CL0000063,PO000450,PH001000,HEALTH,2025-06-29,2025-06-30,1,11437.11,9683.75,APPROVED,Certainly free alone strong just south despite population treat now three whether assume discover matter.,,PR000235,,,AJ000007,BA001018,PHONE,ed9bc057e0e694f26b1cad4d,c7669a97f29e73a1236e9f1a,0,
CL0000064,PO000026,PH002280,AUTO,2025-01-27,2025-01-29,2,6390.32,5625.7,DENIED,Company indicate increase affect exist public interesting decision city over site give go cut each.,VE000508,,RS000026,,AJ000039,BA000512,PHONE,c281d791551c752d51d0c9b5,3d439fb1064e5aca41989c03,1,shared_address_phone_cluster
CL0000065,PO002454,PH000311,HEALTH,2024-05-26,2024-06-09,14,10029.37,8298.14,APPROVED,Indeed risk question though quite thing accept way loss throughout.,,PR000074,,LF000002,AJ000014,BA001072,WEB,7259cfeedb3a711563b8aa25,49597b06e115860b190883ed,0,
CL0000066,PO000811,PH001169,AUTO,2024-03-12,2024-03-19,7,3150.32,2357.76,DENIED,Machine team we human bed for bring quickly receive worker draw process.,VE001278,,RS000002,,AJ000021,BA000351,WEB,4fd352fc38a50af2c38bc3b2,55d3db68c0b6d7f6dd4654ca,0,
CL0000067,PO000641,PH002055,AUTO,2024-11-18,2024-11-25,7,10232.61,5847.94,DENIED,Those brother day building attack two remain end partner kind surface.,VE000157,,RS000128,,AJ000000,BA001125,PHONE,16268702a142e1c971b14e76,a25f2de314d361ca7a06c863,0,
CL0000068,PO001856,PH001644,HOME,2024-04-12,2024-04-15,3,16327.61,6726.64,APPROVED,Woman network yeah president dinner group ok old set.,,,,LF000051,AJ000022,BA001596,PHONE,4b3ffd7e85320ba58f11b645,a6b513277af9952edb56292a,0,
CL0000069,PO000512,PH002264,HOME,2024-06-05,2024-06-10,5,16797.68,7223.99,APPROVED,Onto dog already become science operation sing Congress.,,,,,AJ000001,BA000911,PHONE,d3e09e6c2f81660a833be41c,410c9eba5bf14e4a74e2f5e7,0,
CL0000070,PO001087,PH001701,HEALTH,2024-09-21,2024-09-28,7,9549.68,3839.36,DENIED,Security left reduce future physical structure central home claim for very suddenly same decide happen political.,,PR000241,,,AJ000038,BA000436,PHONE,07d1f5f5fe41dce541da6327,f5700255a8410b1402ed355e,0,
CL0000071,PO002518,PH001481,AUTO,2024-10-22,2024-10-24,2,18095.39,7281.02,APPROVED,Speak long out him listen product order market least those.,VE001578,,RS000004,,AJ000027,BA001846,WEB,3acf4dffa79bce9e92f42b1e,6df4b8d657b07bd3d150bf4a,0,
CL0000072,PO002279,PH000467,HEALTH,2024-02-16,2024-02-21,5,1759.09,1512.96,APPROVED,Owner raise as see win perform point who.,,PR000020,,LF000034,AJ000038,BA001663,PHONE,38cefe1639b414d56763fe29,33bbd72493c4cf227bb6bd05,0,
CL0000073,PO001667,PH000590,AUTO,2024-04-06,2024-04-08,2,5588.22,2300.81,APPROVED,Economic glass party approach form run often order build affect pattern song seat detail past watch.,VE001150,,RS000112,,AJ000033,BA001638,PHONE,000b494438509e5e4ffb9aba,4c69f44be4401f76324e3a69,0,
CL0000074,PO002299,PH001414,HOME,2025-01-22,2025-02-05,14,28662.65,19485.47,PENDING,Security safe chair chance either play mission sort first next catch road exactly occur.,,,,,AJ000029,BA000049,WEB,9fad5cbc75685aa214ef6449,7db416364e7190ef729e80cf,0,
CL0000075,PO001660,PH001948,HOME,2024-04-19,2024-04-20,1,31275.16,12577.64,APPROVED,Plant perhaps leave billion strong himself something treatment go grow away difficult.,,,,LF000031,AJ000048,BA000908,PHONE,2916d3a578ec3af2038b749e,583edc10c39f8686d283c28c,0,
CL0000076,PO002351,PH001221,AUTO,2024-11-13,2024-11-20,7,17949.63,11564.64,APPROVED,With draw power mention writer certainly good leave group community ball who out plant.,VE000422,,RS000028,,AJ000004,BA001811,AGENT,28e7ff5ddfb9cae611e71997,f468c5c591c40645683812f1,0,
CL0000077,PO001733,PH002440,HEALTH,2024-02-23,2024-03-08,1,16610.06,9092.8,PENDING,Walk service machine avoid child happen policy indicate material state section store future.,,PR000010,,LF000055,AJ000022,BA001368,PHONE,2c563708bc9b28fdda33752c,a79fabdb68d2a0b3feac747e,1,triangle_lawfirm_provider
CL0000078,PO001833,PH001393,AUTO,2024-10-13,2024-10-16,3,5745.82,4082.72,APPROVED,Family entire process live morning without sport increase church authority light message leave would toward minute.,VE001667,,RS000179,,AJ000023,BA000662,WEB,918daa2fffd815e93b6855d3,d32a37f8b169fd2b818dc334,0,
CL0000079,PO001966,PH001611,HEALTH,2025-11-27,2025-11-28,1,4539.7,1819.03,APPROVED,All dark wait make style nothing education whom team pick.,,PR000239,,,AJ000019,BA000737,PHONE,528ad178334cc63aa3b101ce,6d3e9afe31aa3bb157597fad,0,
CL0000080,PO001425,PH001254,AUTO,2024-08-07,2024-08-21,14,16013.82,12109.28,DENIED,Maybe machine plan find need identify writer safe real save key address amount despite community general.,VE001869,,RS000060,LF000029,AJ000013,BA001242,AGENT,d78ac817d13af19ef2aaa3be,41ce6b25a71b8a51ff5395cf,0,
CL0000081,PO000633,PH002380,AUTO,2024-10-06,2024-10-13,7,16014.33,15533.9,APPROVED,Bank up physical reveal war floor wide.,VE001429,,RS000134,,AJ000000,BA000997,WEB,ace23d60689b41538218211c,6398c330a5fcb8a6ef7625e9,1,adjuster_collusion
CL0000082,PO001962,PH000773,AUTO,2025-11-05,2025-11-19,14,12532.25,5552.19,PENDING,Product cold culture matter beautiful security reveal letter alone seem couple wear chair scientist benefit.,VE000988,,RS000070,,AJ000007,BA001972,PHONE,1e1ceac287362830f4923659,0fa872781c757aad31421722,0,
CL0000083,PO001803,PH000562,AUTO,2024-02-04,2024-02-09,5,8544.18,7518.81,APPROVED,Official collection ready phone professional reduce light present know purpose.,VE001308,,RS000118,,AJ000007,BA000497,PHONE,587e3e14648b36869e2437e2,f72550a04fce8087359dff2e,0,
CL0000084,PO000100,PH000033,AUTO,2025-02-06,2025-02-13,7,13253.9,8005.98,DENIED,Soon factor would fine type red remain federal half ready weight.,VE001077,,RS000100,,AJ000013,BA002191,PHONE,58319c0a30fc959f407c3388,1fefebe1e7e2503490df2b03,0,
CL0000085,PO000063,PH001699,AUTO,2024-04-14,2024-04-28,14,14847.58,9907.77,APPROVED,Difficult explain choice pick above film police attention almost yourself star world control board necessary.,VE000945,,RS000153,,AJ000016,BA000541,WEB,3aa775f472969a4d7f64a3c0,6da2a5d134855d6f35416d45,0,
CL0000086,PO002215,PH000003,AUTO,2025-02-08,2025-02-13,0,23301.74,7812.39,PENDING,Pull treat evening computer enough north these ago sound.,VE000224,,RS000084,LF000059,AJ000011,BA001595,WEB,4ae4239b4eeb899d19a532ad,d700ead99c5dcf75c9a8aff4,1,phantom_policy_exploitation
CL0000087,PO000196,PH002189,HOME,2025-11-13,2025-11-15,2,28756.08,23361.88,APPROVED,Design amount citizen treat near again large economy gun.,,,,LF000020,AJ000027,BA000302,AGENT,a6c62430386d8a8a00888bf5,a018e556437f62caaf05f82a,0,
CL0000088,PO001882,PH000910,HOME,2024-07-16,2024-07-23,7,33894.03,32877.21,APPROVED,Each answer century plan seat actually threat hour get.,,,,LF000005,AJ000000,BA000004,AGENT,3d6c94da52371ac5691cf3bd,dee7a6469273ac5e62666ee6,1,adjuster_collusion
CL0000089,PO002277,PH000447,HEALTH,2025-06-08,2025-06-10,2,5592.6,5225.35,APPROVED,Wait very another similar there find short despite space next able coach back.,,PR000213,,,AJ000003,BA001658,WEB,7446db371ae3463508fe6f3f,999d79ebcf9458f0b4bb5373,0,
CL0000090,PO000893,PH000759,HOME,2024-03-16,2024-03-17,1,18758.27,16674.83,APPROVED,Everyone task as tree born ready history author character two American compare without sign.,,,,,AJ000040,BA001003,PHONE,551d1716f199d8081f0c6a06,de33dfa8a223e40417ac3eab,0,
CL0000091,PO001486,PH002183,HOME,2024-11-20,2024-12-04,14,5278.35,4352.82,APPROVED,Many live more stock sing about exist could meeting near beyond.,,,,,AJ000008,BA000572,WEB,df7fe5dd5eb593b74ea99ea1,7b7b46ea4f040e4a630ee0ae,0,
CL0000092,PO000334,PH000859,HEALTH,2025-06-22,2025-07-06,14,8756.32,3806.56,PENDING,Opportunity simply research medical once article knowledge break should ask trial.,,PR000161,,,AJ000045,BA000914,WEB,f936acd3c26eff1bda8d8db7,85e117855b7b5ffdf23c0315,0,
CL0000093,PO000776,PH000627,AUTO,2025-02-27,2025-03-02,3,3267.01,2067.88,APPROVED,Major same also traditional case history quickly off under position source campaign treat win peace.,VE000775,,RS000081,,AJ000039,BA000270,PHONE,26ce629e63bac15373eda1e7,ee9231b126758150fceaf250,0,
CL0000094,PO001779,PH001816,AUTO,2024-10-07,2024-10-07,0,5968.95,2609.9,DENIED,Interest bag movie TV continue alone community result pay improve though mission suggest message.,VE000934,,RS000168,,AJ000021,BA000573,AGENT,56497f7bd26a316b79adcbac,e04da6c0f7f2965fad9802fd,0,
CL0000095,PO000611,PH000661,AUTO,2025-10-12,2025-10-26,2,23227.0,15873.6,PENDING,Hard return culture that notice security probably rate.,VE000984,,RS000118,,AJ000038,BA000186,WEB,27ac390bd2fe2cf1722fcb94,a88766b9098fe914757116df,1,shared_bank_account_ring
CL0000096,PO000763,PH001340,AUTO,2024-11-16,2024-11-19,3,13835.9,10737.86,DENIED,Eye drug politics woman her public vote war message stand concern prevent development speech leg.,VE001140,,RS000063,,AJ000047,BA001758,AGENT,9e2e49ebfc90948d1a0f6d0e,92095376ccb896e5d6aa9eca,0,
CL0000097,PO002220,PH001309,AUTO,2025-03-21,2025-03-28,7,19288.69,16023.78,APPROVED,Economy country scene American energy check for authority.,VE000911,,RS000056,LF000016,AJ000001,BA002128,AGENT,d113a5a03e9e5c7f4ae10ffb,4a12a0e4f4d7d4faa11b5892,0,
